 1.918669e+00 -3.293584e+01  1.918669e+00 -5.932819e-06 
 1.923092e+00 -3.293584e+01  1.923092e+00 -5.946496e-06 
 1.927525e+00 -3.293584e+01  1.927525e+00 -5.960204e-06 
 1.931968e+00 -3.293584e+01  1.931968e+00 -5.973944e-06 
 1.936422e+00 -3.293584e+01  1.936422e+00 -5.987715e-06 
 1.940886e+00 -3.293584e+01  1.940886e+00 -6.001518e-06 
 1.945360e+00 -3.293584e+01  1.945360e+00 -6.015353e-06 
 1.949845e+00 -3.293584e+01  1.949845e+00 -6.029220e-06 
 1.954339e+00 -3.293584e+01  1.954339e+00 -6.043119e-06 
 1.958845e+00 -3.293584e+01  1.958845e+00 -6.057049e-06 
 1.963360e+00 -3.293584e+01  1.963360e+00 -6.071012e-06 
 1.967886e+00 -3.293584e+01  1.967886e+00 -6.085008e-06 
 1.972423e+00 -3.293584e+01  1.972423e+00 -6.099035e-06 
 1.976970e+00 -3.293584e+01  1.976970e+00 -6.113095e-06 
 1.981527e+00 -3.293584e+01  1.981527e+00 -6.127187e-06 
 1.986095e+00 -3.293584e+01  1.986095e+00 -6.141311e-06 
 1.990673e+00 -3.293584e+01  1.990673e+00 -6.155469e-06 
 1.995262e+00 -3.293584e+01  1.995262e+00 -6.169658e-06 
 1.999862e+00 -3.293584e+01  1.999862e+00 -6.183881e-06 
 2.004472e+00 -3.293584e+01  2.004472e+00 -6.198136e-06 
 2.009093e+00 -3.293584e+01  2.009093e+00 -6.212424e-06 
 2.013724e+00 -3.293584e+01  2.013724e+00 -6.226746e-06 
 2.018366e+00 -3.293584e+01  2.018366e+00 -6.241100e-06 
 2.023019e+00 -3.293584e+01  2.023019e+00 -6.255487e-06 
 2.027683e+00 -3.293584e+01  2.027683e+00 -6.269907e-06 
 2.032357e+00 -3.293584e+01  2.032357e+00 -6.284361e-06 
 2.037042e+00 -3.293584e+01  2.037042e+00 -6.298848e-06 
 2.041738e+00 -3.293584e+01  2.041738e+00 -6.313368e-06 
 2.046445e+00 -3.293584e+01  2.046445e+00 -6.327922e-06 
 2.051162e+00 -3.293584e+01  2.051162e+00 -6.342509e-06 
 2.055891e+00 -3.293584e+01  2.055891e+00 -6.357130e-06 
 2.060630e+00 -3.293584e+01  2.060630e+00 -6.371785e-06 
 2.065380e+00 -3.293584e+01  2.065380e+00 -6.386474e-06 
 2.070141e+00 -3.293584e+01  2.070141e+00 -6.401196e-06 
 2.074914e+00 -3.293584e+01  2.074914e+00 -6.415952e-06 
 2.079697e+00 -3.293584e+01  2.079697e+00 -6.430743e-06 
 2.084491e+00 -3.293584e+01  2.084491e+00 -6.445567e-06 
 2.089296e+00 -3.293584e+01  2.089296e+00 -6.460425e-06 
 2.094112e+00 -3.293584e+01  2.094112e+00 -6.475318e-06 
 2.098940e+00 -3.293584e+01  2.098940e+00 -6.490245e-06 
 2.103778e+00 -3.293584e+01  2.103778e+00 -6.505207e-06 
 2.108628e+00 -3.293584e+01  2.108628e+00 -6.520203e-06 
 2.113489e+00 -3.293584e+01  2.113489e+00 -6.535234e-06 
 2.118361e+00 -3.293584e+01  2.118361e+00 -6.550299e-06 
 2.123244e+00 -3.293584e+01  2.123244e+00 -6.565399e-06 
 2.128139e+00 -3.293584e+01  2.128139e+00 -6.580534e-06 
 2.133045e+00 -3.293584e+01  2.133045e+00 -6.595703e-06 
 2.137962e+00 -3.293584e+01  2.137962e+00 -6.610908e-06 
 2.142891e+00 -3.293584e+01  2.142891e+00 -6.626148e-06 
 2.147830e+00 -3.293584e+01  2.147830e+00 -6.641423e-06 
 2.152782e+00 -3.293584e+01  2.152782e+00 -6.656733e-06 
 2.157744e+00 -3.293584e+01  2.157744e+00 -6.672078e-06 
 2.162719e+00 -3.293584e+01  2.162719e+00 -6.687459e-06 
 2.167704e+00 -3.293584e+01  2.167704e+00 -6.702875e-06 
 2.172701e+00 -3.293584e+01  2.172701e+00 -6.718327e-06 
 2.177710e+00 -3.293584e+01  2.177710e+00 -6.733814e-06 
 2.182730e+00 -3.293584e+01  2.182730e+00 -6.749337e-06 
 2.187762e+00 -3.293584e+01  2.187762e+00 -6.764896e-06 
 2.192805e+00 -3.293584e+01  2.192805e+00 -6.780491e-06 
 2.197860e+00 -3.293584e+01  2.197860e+00 -6.796121e-06 
 2.202926e+00 -3.293584e+01  2.202926e+00 -6.811788e-06 
 2.208005e+00 -3.293584e+01  2.208005e+00 -6.827491e-06 
 2.213095e+00 -3.293584e+01  2.213095e+00 -6.843230e-06 
 2.218196e+00 -3.293584e+01  2.218196e+00 -6.859005e-06 
 2.223310e+00 -3.293584e+01  2.223310e+00 -6.874817e-06 
 2.228435e+00 -3.293584e+01  2.228435e+00 -6.890665e-06 
 2.233572e+00 -3.293584e+01  2.233572e+00 -6.906549e-06 
 2.238721e+00 -3.293584e+01  2.238721e+00 -6.922471e-06 
 2.243882e+00 -3.293584e+01  2.243882e+00 -6.938429e-06 
 2.249055e+00 -3.293584e+01  2.249055e+00 -6.954423e-06 
 2.254239e+00 -3.293584e+01  2.254239e+00 -6.970455e-06 
 2.259436e+00 -3.293584e+01  2.259436e+00 -6.986523e-06 
 2.264644e+00 -3.293584e+01  2.264644e+00 -7.002629e-06 
 2.269865e+00 -3.293584e+01  2.269865e+00 -7.018772e-06 
 2.275097e+00 -3.293584e+01  2.275097e+00 -7.034952e-06 
 2.280342e+00 -3.293584e+01  2.280342e+00 -7.051169e-06 
